control_number,species_code,genus,species,subspecies,specific_name,generic_name,wildlife_description,quantity,unit,value,country_origin_iso2c,country_imp_exp_iso2c,purpose,source_,action,disposition,disposition_date,shipment_date,import_export,port,us_co,foreign_co,file_num,description,country_origin,country_imp_exp,source
2013317827,LOAF,loxodonta,africana,NA,AFRICAN,ELEPHANT,BON,2,NO,NA,ZW,ZW,H,W,C,C,8/1/13,7/4/13,I,AT,EXEMPTIONS 6 AND 7(C),TAXEIDERMY ENTERPRISES,1,BON,ZW,ZW,W
2013317951,LOXA,loxodonta,africana,NA,AFRICAN,ELEPHANT,KEY,57,NO,NA,GB,GB,P,O,C,C,8/1/13,7/9/13,I,BO,EXEMPTIONS 6 AND 7(C),PERIOD PIANO COMPANY,1,KEY,GB,GB,O
2013318011,BLBE,ursus,americanus,NA,AMERICAN BLACK,BEAR,TRO,3,NO,NA,CA,CA,H,W,C,C,8/1/13,6/7/13,I,1,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,TRO,CA,CA,W
2013318105,TS00,testudinidae,NA,NA,LAND,TORTOISES,SPR,1,NO,NA,XX,GB,P,O,C,C,8/1/13,7/31/13,I,NY,EXEMPTIONS 6 AND 7(C),LOCKSON SERVICES LTD,1,SPR,XX,GB,O
2013318178,NA,pteria,sterna,NA,NA,NA,POW,2,NO,NA,XX,MX,P,W,C,C,8/1/13,8/1/13,I,ME,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,POW,XX,MX,W
2013318369,LOAF,loxodonta,africana,NA,AFRICAN,ELEPHANT,SHO,1,NO,NA,XX,MX,T,W,R,S,7/16/13,7/16/13,I,HN,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,SHO,XX,MX,W
2013318369,LOAF,loxodonta,africana,NA,AFRICAN,ELEPHANT,LPS,1,NO,NA,XX,MX,T,W,R,S,7/16/13,7/16/13,I,HN,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,LPS,XX,MX,W
2013318592,POCI,pocillopora,species,NA,BRUSH,CORAL,COR,1,NO,NA,CN,CN,P,W,R,A,8/16/13,8/2/13,I,CH,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,COR,CN,CN,W
2013318642,BUTT,NA,NA,NA,NON-CITES,BUTTERFLIES,BOD,15,NO,NA,PE,PE,P,U,R,S,7/26/13,7/16/13,I,MI,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BOD,PE,PE,U
2013318642,TARA,NA,NA,NA,ALL SPECIES,ALL TARANTULAS,BOD,15,NO,NA,PE,PE,P,U,R,S,7/26/13,7/16/13,I,MI,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BOD,PE,PE,U
2013319134,CTRI,charonia,tritonis,NA,TRUMPET,SHELL,SHE,1,NO,NA,PH,DE,P,W,R,A,8/7/13,8/3/13,I,DE,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,SHE,PH,DE,W
2013319134,SC00,scleractinia,NA,NA,STONY,CORAL,ROC,2,NO,NA,PH,DE,P,W,R,A,8/7/13,8/3/13,I,DE,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,ROC,PH,DE,W
2013320210,ISBA,isostichopus,badionotus,NA,CHOCOLATE CHIP,SEA CUCUMBER,FIN,12,LB,NA,XX,CN,P,W,R,S,7/10/13,6/7/13,I,LA,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,FIN,XX,CN,W
2013320235,NA,NA,NA,NA,NA,NA,LIV,20,NO,0,BS,BS,S,W,C,C,8/6/13,7/25/13,I,MI,TRINITY UNIVERSITY,NA,3,LIV,BS,BS,W
2013320240,BD00,boidae,NA,NA,NA,BOAS,TRI,1,NO,NA,XX,CN,P,U,R,S,8/23/13,8/3/13,I,SF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,TRI,XX,CN,U
2013320274,NONA,noncites entry,NA,NA,NA,AMPHIBIANS,BOD,520,GM,NA,LA,LA,P,U,R,S,8/23/13,8/5/13,I,SF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BOD,LA,LA,U
