continent,country_name,iso3c,taxa,year,n_by_country_taxa,n_by_country,centroid_lon,centroid_lat
Americas,Costa Rica,CRI,Spider,2003,2,899,-83.946,9.971
Africa,Benin,BEN,Mammal,2003,16,165,2.25,9.5
Africa,Benin,BEN,Bird,2003,1,165,2.25,9.5
Americas,Brazil,BRA,Echinoderms,2003,1,1367,-53.089,-10.772
Africa,Equatorial Guinea,GNQ,Amphibian,2003,17,96,10,2
Africa,Equatorial Guinea,GNQ,Bird,2003,42,96,10,2
Africa,Equatorial Guinea,GNQ,Mammal,2003,3,96,10,2
Africa,Equatorial Guinea,GNQ,Insect,2003,1,96,10,2
Europe,Portugal,PRT,Fish,2003,1,36,-8,39.5
Americas,British Virgin Islands,VGB,Reptile,2003,3,3,-64.39,18.483
Americas,Nicaragua,NIC,Other,2003,1,627,-85,13
Americas,United States,USA,Bird,2003,10,78,-97,38
Americas,United States,USA,Mammal,2003,29,78,-97,38
Africa,Egypt,EGY,Shell,2003,7,444,30,27
Africa,Rwanda,RWA,Mammal,2003,7,21,30,-2
Africa,Egypt,EGY,Spider,2003,24,444,30,27
Europe,Belarus,BLR,Bird,2003,3,8,28.047,53.54
Africa,Egypt,EGY,Insect,2003,9,444,30,27
Europe,Slovenia,SVN,Crustacean,2003,1,25,14.8166666667,46.1166666667
Africa,Mali,MLI,Mammal,2003,4,25,-4,17
Africa,Central African Republic,CAF,Mammal,2003,20,26,21,7
Asia,Cambodia,KHM,Fish,2003,1,17,105,13
Asia,South Korea,KOR,Amphibian,2003,22,1710,128.103,36.504
Asia,Singapore,SGP,Insect,2003,3,2531,103.8,1.36666666667
Americas,Haiti,HTI,Echinoderms,2003,2,1695,-72.4166666667,19
Asia,Pakistan,PAK,Shell,2003,11,63,70,30
Africa,Cameroon,CMR,Mammal,2003,203,240,12,6
Africa,Chad,TCD,Reptile,2003,2,10,19,15
Africa,Congo - Kinshasa,COD,Reptile,2003,29,69,25,0.0166666666667
Africa,Congo - Kinshasa,COD,Amphibian,2003,3,69,25,0.0166666666667
Africa,Congo - Kinshasa,COD,Spider,2003,2,69,25,0.0166666666667
Africa,Niger,NER,Reptile,2003,26,36,9.398,17.426
Americas,Haiti,HTI,Insect,2003,3,1695,-72.4166666667,19
Africa,Guinea,GIN,Mammal,2003,4,16,-10,11
Europe,France,FRA,Spider,2003,4,4480,2,46
Oceania,Cook Islands,COK,Shell,2003,54,107,-159.766666667,-21.2333333333
Americas,Canada,CAN,Plant,2003,1,45300,-95,60
Oceania,Palau,PLW,Mammal,2003,1,107,134.5,7.5
Asia,Uzbekistan,UZB,Reptile,2003,10,11,63.17,41.75
Africa,South Africa,ZAF,Other,2003,14,25797,23.121,-30.558
Europe,Norway,NOR,Insect,2003,1,60,8.74,61.152
Africa,Gabon,GAB,Bird,2003,31,51,11.797,-0.591
Europe,Iceland,ISL,Reptile,2003,2,82,-18,65
Europe,Hungary,HUN,Fish,2003,2,41,20,47
