SPEC_CODE,C,O,F,Genus,Species,Subspecies,Common.Specific.1,Common.General.1,Taxa
BCOG,A,AU,BF,BUFO,COGNATUS,,GREAT PLAINS,TOAD,AMPHIBIAN
BCON,A,AU,BF,BUFO,CONIFER,,EVERGREEN,TOAD,AMPHIBIAN
BCS?,A,CX,PL,BATRACHOSEPS,SPECIES, ,SLENDER,SALAMANDER,AMPHIBIAN
BEF?,A,AU,RH,THELODERMA,SPECIES,,BUG-EYED,FROG,AMPHIBIAN
BEPH,A,AU,BR,BRACHYCEPHALUS,EPHIPPIUM,,SPIX'S SADDLEBACK,TOAD,AMPHIBIAN
BMAR,A,AU,BF,BUFO,MARINUS, ,NEOTROPICAL,TOAD,AMPHIBIAN
BMAU,A,AU,BF,BUFO,MAURITANICUS,,BERBER,TOAD,AMPHIBIAN
BMEL,A,AU,BF,BUFO,MELANOCHLORIS,,DARK GREEN,TOAD,AMPHIBIAN
BMEX,A,CX,PL,BOLITOGLOSSA,MEXICANA, ,MEX MUSHROOMTONGUE,SALAMANDER,AMPHIBIAN
BODO,A,CX,PL,BOLITOGLOSSA,DOFLEINI,,ALTA VERAPAZ,SALAMANDER,AMPHIBIAN
BOG?,A,CX,PL,BOLITOGLOSSA,SPECIES, ,MUSHROOMTONGUE,SALAMANDER,AMPHIBIAN
BOMB,A,AU,DI,BOMBINA,SPECIES, ,FIREBELLY,TOAD,AMPHIBIAN
BOMI,A,AU,RH,BOOPHIS,MICROTYMPANUM,,IMERINA BRIGHT-EYE,FROG,AMPHIBIAN
BOMM,A,AU,DI,BOMBINA,MAXIMA,,YUNNAN FIREBELLY,TOAD,AMPHIBIAN
BOO?,A,AU,RH,BOOPHIS,SPECIES, ,BRIGHT-EYED,FROG,AMPHIBIAN
BOOA,A,AU,RH,BOOPHIS,ALBILABRIS, ,WHT-LIP BRIGHT-EYE,FROG,AMPHIBIAN
BOOM,A,AU,RH,BOOPHIS,MADAGASCARIENSIS,,MG BRIGHT-EYED,FROG,AMPHIBIAN
BOOR,A,AU,DI,BOMBINA,ORIENTALIS, ,ORIENTAL FIREBELLY,TOAD,AMPHIBIAN
BOVA,A,AU,DI,BOMBINA,VARIEGATA,,YELLOWBELLY,TOAD,AMPHIBIAN
BRAD,A,AU,MI,BREVICEPS,ADSPERSUS,,TRANSVAAL SHT-HEAD,FROG,AMPHIBIAN
BRCN,A,AU,MG,BRACHYTARSOPHRYS,CARINENSIS,,KARIN HILLS,FROG,AMPHIBIAN
BRE?,A,AU,MI,BREVICEPS,SPECIES,,SHORT-HEADED,FROG,AMPHIBIAN
BRMO,A,AU,MI,BREVICEPS,MOSSAMBISCUS,,MZ SHORT-HEADED,FROG,AMPHIBIAN
BTC?,A,CX,HB,BATRACHUPERUS,SPECIES, ,MOUNTAIN,SALAMANDER,AMPHIBIAN
BUAM,A,AU,BF,BUFO,AMERICANUS, ,AMERICAN,TOAD,AMPHIBIAN
BUEX,A,AU,BF,BUFO,EXSUL, ,BLACK,TOAD,AMPHIBIAN
BUEX,A,AU,BF,BUFO,BOREAS,EXSUL,BUFO,EXSUL,AMPHIBIAN
BUF#,A,AU,BF,BUFONIDAE, , , ,TOADS,AMPHIBIAN
BUFB,A,AU,BF,BUFO,BOREAS, ,WESTERN,TOAD,AMPHIBIAN
BUFC,A,AU,BF,BUFO,CAMERUNENSIS,,OBAN,TOAD,AMPHIBIAN
BUFD,A,AU,BF,BUFO,DEBILIS, ,GREEN,TOAD,AMPHIBIAN
BUFG,A,AU,BF,BUFO,GALEATUS,,GAMBOJA,TOAD,AMPHIBIAN
BUFH,A,AU,BF,BUFO,HEMIOPHRYS, ,CANADIAN,TOAD,AMPHIBIAN
BUFL,A,AU,BF,BUFO,LIMENSIS,,PERU COAST,TOAD,AMPHIBIAN
BUFM,A,AU,BF,BUFO,MICROSCAPHUS, ,SOUTHWESTERN,TOAD,AMPHIBIAN
BUFO,A,AU,BF,BUFO,SPECIES, , ,TOAD,AMPHIBIAN
BUFP,A,AU,BF,BUFO,PARACNEMIS,,CURURU,TOAD,AMPHIBIAN
BUFQ,A,AU,BF,BUFO,QUERCICUS,,OAK,TOAD,AMPHIBIAN
BUFR,A,AU,BF,BUFO,REGULARIS,,SQUARE-MARKED,TOAD,AMPHIBIAN
BUFS,A,AU,BF,BUFO,SPINULOSUS,,WARTY,TOAD,AMPHIBIAN
BUFT,A,AU,BF,BUFO,TERRESTRIS,,SOUTHERN,TOAD,AMPHIBIAN
BUGU,A,AU,BF,BUFO,GUTTATUS,,SPOTTED,TOAD,AMPHIBIAN
